"listyear","observations","intercept","slope","r_squared"
2007,316,5.69742123732075,0.900102475885097,0.333535934335524
2008,279,-51.4025384996259,1.00918645987194,0.373536062574918
2009,289,2.9836867287747,0.727669155300092,0.162784277780542
2010,167,-69.8662712900624,1.0912815346449,0.357946435758533
2011,224,-8.62013432495132,0.989714198448661,0.648525808266964
2012,250,-22.5415065679541,1.02455590053197,0.512970987253166
2013,233,-31.2254990227319,1.12830338865261,0.615401926359673
2014,248,-19.6992976585276,1.00938671402344,0.486242949227059
2015,264,-26.4285057963044,1.09517930336114,0.501713866659411
2017,277,-17.4264432429761,1.11425251970379,0.504509620273839
2018,262,-21.1746681756546,1.15640179222643,0.550729354874898
2019,317,11.8042245162349,1.04839237231873,0.463728386376842
2020,381,20.8769834023081,1.21557418654177,0.466034781626984
2021,312,29.4367637833979,1.13623197670165,0.440484128597619
