"serialnumber","listyear","daterecorded","town","address","assessedvalue","saleamount","salesratio","propertytype","residentialtype","nonuse.code","assessorremarks","opmremarks","location","assessedvalue_true"
80380,2008,"04/28/2009","New Haven","1267 QUINNIPIAC AV",128940,55,2.344363636,"Single Family","Single Family","13 - Bankrupcy","","","",184.2
80999,2008,"09/02/2009","New Haven","253 CONCORD ST",125510,62,2.024354839,"Single Family","Single Family","13 - Bankrupcy","","","",179.3
80660,2008,"06/12/2009","New Haven","1425 QUINNIPIAC AV#311",99190,70,1.417,"Single Family","Single Family","13 - Bankrupcy","","","",141.7
80856,2008,"07/31/2009","New Haven","20 GREEN HILL TER",127680,202,0.632079208,"Single Family","Single Family","","","","",182.4
80476,2008,"02/27/2009","New Haven","304 PROSPECT ST",162750,220,0.739772727,"Single Family","Single Family","13 - Bankrupcy","","","",232.5
80613,2008,"05/29/2009","New Haven","1274 FOREST RD",144830,180,0.804611111,"Single Family","Single Family","","","","POINT (-72.96828 41.32667)",206.9
80772,2008,"07/09/2009","New Haven","108 FREDERICK ST",166880,94,1.775319149,"Single Family","Single Family","13 - Bankrupcy","","","",238.4
80534,2008,"04/09/2009","New Haven","174 HAZEL ST",102550,150,0.683666667,"Single Family","Single Family","01 - Family","","","",146.5
80852,2008,"07/30/2009","New Haven","116 LOMBARD ST",88410,103.268,0.856121935,"Single Family","Single Family","13 - Bankrupcy","","","",126.3
81005,2008,"09/03/2009","New Haven","1425 QUINNIPIAC AV# 104",86170,87,0.99045977,"Single Family","Single Family","","","","",123.1
80529,2008,"04/03/2009","New Haven","421 GREENWICH AV",84560,40,2.114,"Single Family","Single Family","13 - Bankrupcy","","","",120.8
80148,2008,"11/26/2008","New Haven","466 MIDDLETOWN AV 30",61460,60,1.024333333,"Single Family","Single Family","13 - Bankrupcy","","","",87.8
81025,2008,"09/10/2009","New Haven","152 CURTIS DR",159810,177,0.902881356,"Single Family","Single Family","","","","",228.3
80991,2008,"09/01/2009","New Haven","1 FRONT ST# 200",89180,154,0.579090909,"Single Family","Single Family","","","","",127.4
80647,2008,"06/09/2009","New Haven","94 DORMAN ST",103250,90,1.147222222,"Single Family","Single Family","13 - Bankrupcy","","","",147.5
80710,2008,"06/25/2009","New Haven","113 SENECA RD",174020,162,1.074197531,"Single Family","Single Family","","","","",248.6
81058,2008,"09/22/2009","New Haven","134 BURWELL ST",121800,116.7,1.043701799,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.88895 41.29368)",174
80161,2008,"12/02/2008","New Haven","71 HALL ST",166950,195,0.856153846,"Single Family","Single Family","13 - Bankrupcy","","","",238.5
80968,2008,"08/26/2009","New Haven","125 CROFTON ST",110320,112.9,0.977147919,"Single Family","Single Family","13 - Bankrupcy","","","",157.6
80899,2008,"08/07/2009","New Haven","40 FLORENCE AV",162820,213,0.764413146,"Single Family","Single Family","","","","",232.6
80896,2008,"08/07/2009","New Haven","21 FAIRVIEW",163170,149,1.095100671,"Single Family","Single Family","10 - A Will","","","",233.1
80424,2008,"01/05/2009","New Haven","599 FOUNTAIN ST",168280,148,1.137027027,"Single Family","Single Family","13 - Bankrupcy","","","",240.4
80983,2008,"08/31/2009","New Haven","8 RUSSO TER",148680,215,0.691534884,"Single Family","Single Family","","","","POINT (-72.87521 41.3074)",212.4
80083,2008,"11/03/2008","New Haven","19 FIRST AV",137480,140,0.982,"Single Family","Single Family","","","","",196.4
80293,2008,"02/11/2009","New Haven","194 WEYBOSSET ST",115920,175,0.6624,"Single Family","Single Family","","","","POINT (-72.87271 41.33123)",165.6
80097,2008,"11/07/2008","New Haven","575 WINTHROP AV",116690,66,1.768030303,"Single Family","Single Family","13 - Bankrupcy","","","",166.7
80598,2008,"05/27/2009","New Haven","257 LENOX ST",137060,10.8,12.69074074,"Single Family","Single Family","25 - Other","BELOW MARKET","","",195.8
80915,2008,"08/13/2009","New Haven","28 TROCK HILL RD",132720,207,0.64115942,"Single Family","Single Family","","","","",189.6
80935,2008,"08/18/2009","New Haven","435 BELLEVUE RD",149030,150,0.993533333,"Single Family","Single Family","13 - Bankrupcy","","","",212.9
80689,2008,"06/22/2009","New Haven","285 UPSON TER",163240,227.5,0.717538462,"Single Family","Single Family","10 - A Will","","","",233.2
80945,2008,"08/20/2009","New Haven","78 DANIEL DR",133560,180.2,0.741176471,"Single Family","Single Family","","","","POINT (-72.86788 41.3231)",190.8
80700,2008,"06/23/2009","New Haven","176 GLEN VIEW TER",111230,96.5,1.152642487,"Single Family","Single Family","13 - Bankrupcy","","","",158.9
80321,2008,"03/09/2009","New Haven","42 GREENWOOD ST",78400,43,1.823255814,"Single Family","Single Family","13 - Bankrupcy","","","",112
80804,2008,"07/16/2009","New Haven","LIGHTHOUSE RD",135030,250,0.54012,"Single Family","Single Family","","","","",192.9
80930,2008,"08/17/2009","New Haven","128 CRESCENT ST",137970,143,0.964825175,"Single Family","Single Family","","","","",197.1
80921,2008,"08/14/2009","New Haven","35 STEVENS ST",92400,27,3.422222222,"Single Family","Single Family","13 - Bankrupcy","","","",132
80501,2008,"03/18/2009","New Haven","45 WILLIS ST",102760,45.9,2.238779956,"Single Family","Single Family","13 - Bankrupcy","","","",146.8
80650,2008,"06/10/2009","New Haven","34 BEVERLY RD",147700,185,0.798378378,"Single Family","Single Family","","","","",211
80242,2008,"01/09/2009","New Haven","26 LONG HILL TER",153020,185,0.827135135,"Single Family","Single Family","","","","",218.6
81064,2008,"09/25/2009","New Haven","25 WINTHROP AV",79030,38,2.079736842,"Single Family","Single Family","25 - Other","BELOW MARKET","","",112.9
80936,2008,"08/13/2009","New Haven","6 RUSSO TER",161210,250,0.64484,"Single Family","Single Family","","","","",230.3
80815,2008,"07/22/2009","New Haven","728 RUSSELL ST",105070,140,0.7505,"Single Family","Single Family","","","","",150.1
80836,2008,"07/27/2009","New Haven","158 PORTER ST",100240,62,1.616774194,"Single Family","Single Family","13 - Bankrupcy","","","",143.2
80182,2008,"12/09/2008","New Haven","15 COLBY CT",166460,75.5,2.204768212,"Single Family","Single Family","13 - Bankrupcy","","","",237.8
80263,2008,"01/20/2009","New Haven","52 NASH ST",151480,50,3.0296,"Single Family","Single Family","25 - Other","BELOW MARKET","","",216.4
80726,2008,"06/29/2009","New Haven","190 CLIFTON ST",111370,95,1.172315789,"Single Family","Single Family","25 - Other","BELOW MARKET","","",159.1
80435,2008,"01/26/2009","New Haven","1423 QUINNIPIAC AV# 116",88270,108,0.817314815,"Single Family","Single Family","10 - A Will","","","",126.1
80562,2008,"05/13/2009","New Haven","101 CONCORD ST",138250,210,0.658333333,"Single Family","Single Family","","","","",197.5
80962,2008,"08/26/2009","New Haven","1800 DEAN ST",167440,139,1.204604317,"Single Family","Single Family","13 - Bankrupcy","","","",239.2
80574,2008,"05/15/2009","New Haven","539 RUSSELL ST",145320,197,0.737664975,"Single Family","Single Family","","","","",207.6
80876,2008,"08/04/2009","New Haven","45 SPRINGSIDE AV",81270,12.5,6.5016,"Single Family","Single Family","25 - Other","BELOW MARKET","","POINT (-72.9555 41.32992)",116.1
80113,2008,"11/14/2008","New Haven","394 SUMMIT ST",123970,83.5,1.484670659,"Single Family","Single Family","13 - Bankrupcy","","","",177.1
81022,2008,"09/09/2009","New Haven","146 LAMBERTON ST",96110,50,1.9222,"Single Family","Single Family","13 - Bankrupcy","","","",137.3
81076,2008,"09/30/2009","New Haven","1224 DEANN ST",172550,149.35,1.155339806,"Single Family","Single Family","25 - Other","BELOW MARKET","","",246.5
80128,2008,"11/20/2008","New Haven","37 BURR ST",129990,159.9,0.812945591,"Single Family","Single Family","13 - Bankrupcy","","","",185.7
80379,2008,"04/28/2009","New Haven","80 PECK ST",130830,180,0.726833333,"Single Family","Single Family","","","","",186.9
81032,2008,"09/11/2009","New Haven","280 DAVENPORT AV",91000,23.8,3.823529412,"Single Family","Single Family","13 - Bankrupcy","","","",130
80436,2008,"01/27/2009","New Haven","539 RUSSELL ST",145320,105,1.384,"Single Family","Single Family","10 - A Will","","","",207.6
80967,2008,"08/26/2009","New Haven","19 BEVERLY RD",138110,175,0.7892,"Single Family","Single Family","","","","POINT (-72.97996 41.33061)",197.3
80807,2008,"07/17/2009","New Haven","1455 QUINNIPIAC AV",131320,95,1.382315789,"Single Family","Single Family","25 - Other","BELOW MARKET","","",187.6
80617,2008,"06/01/2009","New Haven","120 EDWARDS ST UNIT 3",162540,250,0.65016,"Single Family","Single Family","","","","",232.2
80849,2008,"07/30/2009","New Haven","106 ESSEX ST",119210,70,1.703,"Single Family","Single Family","13 - Bankrupcy","","","",170.3
80392,2008,"04/30/2009","New Haven","177 DIVISION ST",152250,142,1.072183099,"Single Family","Single Family","13 - Bankrupcy","","","",217.5
80531,2008,"04/08/2009","New Haven","83 WINTHROP AV",84350,33.5,2.517910448,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.94502 41.30347)",120.5
80035,2008,"10/15/2008","New Haven","360 FRONT ST",107590,137,0.785328467,"Single Family","Single Family","14 - Foreclosure","","","",153.7
80931,2008,"08/17/2009","New Haven","11 NELSON ST",135030,199.5,0.676842105,"Single Family","Single Family","","","","",192.9
80649,2008,"06/09/2009","New Haven","441 MIDDLETOWN AV#6",158200,122,1.296721311,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.87723 41.3288)",226
80789,2008,"07/16/2009","New Haven","315 BELLEVUE RD",149170,285,0.523403509,"Single Family","Single Family","","","","",213.1
80653,2008,"06/10/2009","New Haven","33 AUBURN ST",93800,33,2.842424242,"Single Family","Single Family","13 - Bankrupcy","","","",134
80752,2008,"07/02/2009","New Haven","255 FORT HALE RD",169680,213,0.796619718,"Single Family","Single Family","","","","",242.4
80131,2008,"11/20/2008","New Haven","24 LANCRAFT ST",100030,100,1.0003,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.89309 41.29847)",142.9
80474,2008,"02/26/2009","New Haven","22 MANSION ST",151270,130,1.163615385,"Single Family","Single Family","13 - Bankrupcy","","","",216.1
80714,2008,"06/26/2009","New Haven","1434 QUINNIPIAC AV",108010,153,0.705947712,"Single Family","Single Family","10 - A Will","","","",154.3
80825,2008,"07/24/2009","New Haven","393 BURR ST",154350,151,1.02218543,"Single Family","Single Family","10 - A Will","","","",220.5
80875,2008,"08/04/2009","New Haven","44 WEST PROSPECT ST",168280,225,0.747911111,"Single Family","Single Family","","","","POINT (-72.97205 41.32839)",240.4
80688,2008,"06/19/2009","New Haven","1250 WHALLEY AV",113330,147.5,0.768338983,"Single Family","Single Family","","","","POINT (-72.97156 41.33023)",161.9
80507,2008,"03/24/2009","New Haven","97 LONG HILL TER",144410,172,0.839593023,"Single Family","Single Family","","","","",206.3
81011,2008,"09/04/2009","New Haven","30 CHESTER ST",122500,190,0.644736842,"Single Family","Single Family","","","","",175
80802,2008,"07/16/2009","New Haven","667 WINTHROP AV",109480,170,0.644,"Single Family","Single Family","","","","",156.4
80096,2008,"11/07/2008","New Haven","62 DELL DR",133280,170,0.784,"Single Family","Single Family","","","","",190.4
80817,2008,"07/22/2009","New Haven","15 WILSON ST",124810,85.74,1.455679963,"Single Family","Single Family","13 - Bankrupcy","","","",178.3
80862,2008,"08/03/2009","New Haven","328 MARION ST",145600,220,0.661818182,"Single Family","Single Family","","","","",208
80549,2008,"05/08/2009","New Haven","731 GRAND AV",107870,60,1.797833333,"Single Family","Single Family","13 - Bankrupcy","","","",154.1
80693,2008,"06/22/2009","New Haven","334 CONCORD ST",172900,192,0.900520833,"Single Family","Single Family","","","","",247
80273,2008,"01/27/2009","New Haven","20 & 24 DOWNES ST",89880,80,1.1235,"Single Family","Single Family","16 - Charitable Group","","","",128.4
80952,2008,"08/24/2009","New Haven","42 FOURTH ST",91630,128.75,0.71168932,"Single Family","Single Family","","","","",130.9
80851,2008,"07/30/2009","New Haven","22 STEVENS ST",91070,65.53,1.389745155,"Single Family","Single Family","13 - Bankrupcy","","","",130.1
80639,2008,"06/05/2009","New Haven","127 GREENHILL TER",129780,178,0.729101124,"Single Family","Single Family","","","","",185.4
80589,2008,"05/22/2009","New Haven","125 LOWIN AV",156520,140,1.118,"Single Family","Single Family","13 - Bankrupcy","","","",223.6
80953,2008,"08/24/2009","New Haven","162 PORTER ST",105560,61,1.730491803,"Single Family","Single Family","10 - A Will","","","POINT (-72.95127 41.3075)",150.8
