"serialnumber","listyear","daterecorded","town","address","assessedvalue","saleamount","salesratio","propertytype","residentialtype","nonuse.code","assessorremarks","opmremarks","location","assessedvalue_true"
80458,2008,"02/05/2009","New Haven","81 MORRIS ST",85890,25,3.4356,"Single Family","Single Family","25 - Other","BELOW MARKET","","",122.7
80713,2008,"06/25/2009","New Haven","54 DELL DR",130340,190.5,0.684199475,"Single Family","Single Family","","","","",186.2
80496,2008,"03/13/2009","New Haven","651 WOODWARD AV",112210,204,0.55004902,"Single Family","Single Family","","","","",160.3
80058,2008,"10/23/2008","New Haven","84 HUDSON ST",61040,141.7,0.430769231,"Single Family","Single Family","25 - Other","PROPERTY IMPROVEMENTS? PURCHASED FOR 30,000","","",87.2
80459,2008,"02/05/2009","New Haven","85 SHERMAN AV",108710,153.28,0.709224948,"Single Family","Single Family","14 - Foreclosure","","","",155.3
80181,2008,"12/09/2008","New Haven","23 MORRIS ST",80640,45,1.792,"Single Family","Single Family","13 - Bankrupcy","","","",115.2
80349,2008,"04/17/2009","New Haven","13 GREEN HILL TER",113960,97.5,1.168820513,"Single Family","Single Family","13 - Bankrupcy","","","",162.8
81056,2008,"09/22/2009","New Haven","85 BROOKLAWN CIR",156030,142,1.098802817,"Single Family","Single Family","","","","",222.9
80462,2008,"02/09/2009","New Haven","1102 TOWNSEND AV",151340,185,0.818054054,"Single Family","Single Family","","","","",216.2
80271,2008,"01/26/2009","New Haven","145 HALL ST",139090,182.5,0.762136986,"Single Family","Single Family","","","","POINT (-72.89148 41.27228)",198.7
80984,2008,"08/31/2009","New Haven","90 GREEN HILL TER",133630,159.5,0.837805643,"Single Family","Single Family","","","","",190.9
80446,2008,"01/30/2009","New Haven","138 FRONT ST",102550,150,0.683666667,"Single Family","Single Family","","","","",146.5
80276,2008,"01/27/2009","New Haven","539 RUSSELL ST",145320,105,1.384,"Single Family","Single Family","10 - A Will","","","",207.6
80226,2008,"12/30/2008","New Haven","328 BLATCHLEY AV",92610,60,1.5435,"Single Family","Single Family","10 - A Will","","","",132.3
80332,2008,"03/30/2009","New Haven","158 HALL ST",143500,164,0.875,"Single Family","Single Family","","","","",205
80013,2008,"10/07/2008","New Haven","432 HUNTINGTON ST",81830,45.619,1.79377014,"Single Family","Single Family","14 - Foreclosure","","","",116.9
